InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,71053,White Metal Lantern,6,2025-11-30 03:00:00,3.39,12128,United Kingdom
536000,71053,White Metal Lantern,4,2025-07-28 14:00:00,3.39,12153,France
536000,22633,Hand Warmer Union Jack,10,2024-11-23 22:00:00,1.85,12112,United Kingdom
536001,71053,White Metal Lantern,2,2024-05-14 04:00:00,3.39,12073,United Kingdom
536001,22633,Hand Warmer Union Jack,11,2024-10-14 08:00:00,1.85,12080,United Kingdom
536001,22752,Set 7 Babushka Nesting Boxes,6,2024-04-14 12:00:00,7.65,12096,France
536001,71053,White Metal Lantern,9,2025-02-03 04:00:00,3.39,12137,United Kingdom
536002,84406B,Cream Cupid Hearts Coat Hanger,11,2025-02-26 05:00:00,2.75,12147,United Kingdom
536002,22752,Set 7 Babushka Nesting Boxes,6,2025-07-30 19:00:00,7.65,12118,United Kingdom
536002,22633,Hand Warmer Union Jack,2,2025-11-22 16:00:00,1.85,12108,France
536002,22633,Hand Warmer Union Jack,7,2024-12-19 11:00:00,1.85,12134,Germany
536003,22633,Hand Warmer Union Jack,9,2024-02-04 23:00:00,1.85,12132,United Kingdom
536003,84406B,Cream Cupid Hearts Coat Hanger,1,2024-05-20 09:00:00,2.75,12133,United Kingdom
536003,21730,Glass Star Frosted T-Light Holder,8,2025-10-20 13:00:00,4.25,12036,Germany
536003,71053,White Metal Lantern,11,2025-09-16 00:00:00,3.39,12179,United Kingdom
536004,84029E,Red Woolly Hottie White Heart,9,2025-02-24 08:00:00,3.39,12102,United Kingdom
536004,22633,Hand Warmer Union Jack,7,2024-10-03 20:00:00,1.85,12110,United Kingdom
536004,84029E,Red Woolly Hottie White Heart,1,2024-07-23 22:00:00,3.39,12008,United Kingdom
536004,22633,Hand Warmer Union Jack,9,2025-05-06 18:00:00,1.85,12125,Netherlands
536005,84029E,Red Woolly Hottie White Heart,12,2025-09-29 11:00:00,3.39,12124,United Kingdom
536005,22633,Hand Warmer Union Jack,7,2024-02-16 05:00:00,1.85,12142,Germany
536005,22752,Set 7 Babushka Nesting Boxes,8,2025-08-21 23:00:00,7.65,12025,United Kingdom
536005,84029E,Red Woolly Hottie White Heart,8,2025-08-04 15:00:00,3.39,12046,Germany
536006,22633,Hand Warmer Union Jack,2,2024-12-30 03:00:00,1.85,12166,Netherlands
536006,22752,Set 7 Babushka Nesting Boxes,2,2025-07-15 21:00:00,7.65,12049,United Kingdom
536006,85123A,White Hanging Heart T-Light Holder,2,2025-09-08 09:00:00,2.55,12000,United Kingdom
536006,71053,White Metal Lantern,10,2024-12-04 17:00:00,3.39,12050,United Kingdom
536007,85123A,White Hanging Heart T-Light Holder,9,2025-05-03 02:00:00,2.55,12068,United Kingdom
536007,22752,Set 7 Babushka Nesting Boxes,11,2025-11-03 01:00:00,7.65,12149,United Kingdom
536007,84406B,Cream Cupid Hearts Coat Hanger,9,2025-10-08 02:00:00,2.75,12057,United Kingdom
536007,84029E,Red Woolly Hottie White Heart,2,2024-08-06 22:00:00,3.39,12106,Netherlands
536008,84029E,Red Woolly Hottie White Heart,9,2025-06-17 08:00:00,3.39,12105,France
536008,84029G,Knitted Union Flag Hot Water Bottle,7,2024-05-25 05:00:00,3.39,12003,United Kingdom
536008,71053,White Metal Lantern,1,2025-04-27 20:00:00,3.39,12088,Netherlands
536008,85123A,White Hanging Heart T-Light Holder,1,2025-10-12 06:00:00,2.55,12130,United Kingdom
536009,84029E,Red Woolly Hottie White Heart,8,2024-06-15 01:00:00,3.39,12083,United Kingdom
536009,22633,Hand Warmer Union Jack,10,2024-08-21 10:00:00,1.85,12158,United Kingdom
536009,84029G,Knitted Union Flag Hot Water Bottle,7,2025-04-04 15:00:00,3.39,12159,United Kingdom
536009,84029G,Knitted Union Flag Hot Water Bottle,11,2025-06-29 07:00:00,3.39,12017,United Kingdom
536010,84406B,Cream Cupid Hearts Coat Hanger,1,2024-03-07 03:00:00,2.75,12165,United Kingdom
536010,84029G,Knitted Union Flag Hot Water Bottle,8,2024-01-29 06:00:00,3.39,12173,United Kingdom
536010,84029G,Knitted Union Flag Hot Water Bottle,9,2024-08-07 07:00:00,3.39,12035,United Kingdom
536010,84406B,Cream Cupid Hearts Coat Hanger,7,2025-08-04 02:00:00,2.75,12069,United Kingdom
536011,71053,White Metal Lantern,7,2024-09-12 22:00:00,3.39,12078,United Kingdom
536011,84029E,Red Woolly Hottie White Heart,8,2025-07-21 22:00:00,3.39,12127,United Kingdom
536011,84406B,Cream Cupid Hearts Coat Hanger,6,2025-10-20 11:00:00,2.75,12132,United Kingdom
536011,84029E,Red Woolly Hottie White Heart,2,2024-11-12 04:00:00,3.39,12054,United Kingdom
536012,71053,White Metal Lantern,8,2025-03-27 11:00:00,3.39,12165,United Kingdom
536012,84406B,Cream Cupid Hearts Coat Hanger,1,2024-08-02 08:00:00,2.75,12090,United Kingdom
536012,84029G,Knitted Union Flag Hot Water Bottle,2,2025-01-18 06:00:00,3.39,12158,United Kingdom
536012,84029G,Knitted Union Flag Hot Water Bottle,10,2025-01-01 09:00:00,3.39,12075,United Kingdom
536013,84406B,Cream Cupid Hearts Coat Hanger,2,2024-05-11 23:00:00,2.75,12067,Spain
536013,84406B,Cream Cupid Hearts Coat Hanger,2,2024-03-23 20:00:00,2.75,12175,France
536013,84406B,Cream Cupid Hearts Coat Hanger,11,2024-05-25 11:00:00,2.75,12161,United Kingdom
536013,84029E,Red Woolly Hottie White Heart,10,2025-02-01 16:00:00,3.39,12016,Netherlands
536014,84406B,Cream Cupid Hearts Coat Hanger,5,2024-03-27 04:00:00,2.75,12065,United Kingdom
536014,84029E,Red Woolly Hottie White Heart,7,2024-03-19 13:00:00,3.39,12003,United Kingdom
536014,85123A,White Hanging Heart T-Light Holder,5,2024-05-08 11:00:00,2.55,12031,United Kingdom
536014,22752,Set 7 Babushka Nesting Boxes,6,2024-02-22 05:00:00,7.65,12116,Netherlands
536015,22752,Set 7 Babushka Nesting Boxes,10,2025-09-24 00:00:00,7.65,12055,United Kingdom
536015,71053,White Metal Lantern,11,2025-11-15 17:00:00,3.39,12095,United Kingdom
536015,84029E,Red Woolly Hottie White Heart,7,2025-05-01 19:00:00,3.39,12074,United Kingdom
536015,21730,Glass Star Frosted T-Light Holder,1,2025-03-27 15:00:00,4.25,12072,United Kingdom
